course_code,course_title,course_teacher,link,fas_code,unique_code
APMTH 107,Graph Theory and Combinatorics 001,Valiant,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=089388a6dcd7322b5af3ff95210a468510affc59d170ed1cb63413728464d93caef9ea609197c91b5137df9bab49772e&ReportType=2&regl=en-US,FAS-118482-2232-1-1-001,FAS-118482-2232-1-1-001(Valiant)
APMTH 108,Nonlinear Dynamical Systems 001,Iams,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6f945a9d14e4c65340421a469209f5fc31e941eb66f59f271f96bb8339e8b55316f9c2fe9887efed051bff7dec714d89&ReportType=2&regl=en-US,FAS-121989-2232-1-1-001,FAS-121989-2232-1-1-001(Iams)
APMTH 115,Mathematical Modeling 001,Kuang,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=dd27f963d14801241dfaefbc6e599eb86d91c90ba214d1dfd452b4f6ade26237f9185abec0b8cf86932f7f2beda50329&ReportType=2&regl=en-US,FAS-118021-2232-1-1-001,FAS-118021-2232-1-1-001(Kuang)
APMTH 120,Applied Linear Algebra and Big Data 001,Tziperman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9ce2e788460daa439e49fc7f784506ca4c05321f4566a131a708e66dbd3fe1496098308151777bf48bf925ae17ebcb74&ReportType=2&regl=en-US,FAS-113876-2232-1-1-001,FAS-113876-2232-1-1-001(Tziperman)
APMTH 201,Physical Mathematics I 001,Sinha,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6e6ca30ce02c5dcd73f7f6c8515aa5fe1b9cce113a2a2cec4d7758bf4f3cd57c1f4eb2810431e9322ae9ac6116af8044&ReportType=2&regl=en-US,FAS-112798-2232-1-1-001,FAS-112798-2232-1-1-001(Sinha)
APMTH 220,Geometric Methods for Machine Learning 001,Weber,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=31a8dee2ea1c0e39a1bc244fd83cc150203b3b6f24cf3a383a824654d7af3b04e7f15c71f3433e1b40731fda4fa7aa25&ReportType=2&regl=en-US,FAS-221929-2232-1-1-001,FAS-221929-2232-1-1-001(Weber)
APMTH 230,Active Matter 001,Mahadevan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d0829320abc592052a94ad20291d45844a6343d41827ad4881ad8653cf659f3ab66e17999d693a875a76d945ab2baeff&ReportType=2&regl=en-US,FAS-220128-2232-1-1-001,FAS-220128-2232-1-1-001(Mahadevan)
APMTH 231,Decision Theory 001,Ba,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f40f1f657baaf57e3c08048d4034b954c23e9ca617e78739156f15ff940735ee1e29f11acfe89bfff90162b15e29b8c5&ReportType=2&regl=en-US,FAS-203548-2232-1-1-001,FAS-203548-2232-1-1-001(Ba)
APPHY 50B,"Physics as a Foundation for Science and Engineering, Part II 001",Hekstra,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fe4dff0253fc119164712a3a908f9cddadeed8cd4476cb8060ed66b3b643d275485d5227d611860a0b1e2559e6b7f695&ReportType=2&regl=en-US,FAS-108882-2232-1-1-001,FAS-108882-2232-1-1-001(Hekstra)
APPHY 50B,"Physics as a Foundation for Science and Engineering, Part II 001",Mazur,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=90147da5eb9fa0f29c2287e45737b24f01ac9778e6aae43fe9236e46d0c5dd6f5eca3ad1223fe71d144152d1a6bf768a&ReportType=2&regl=en-US,FAS-108882-2232-1-1-001,FAS-108882-2232-1-1-001(Mazur)
APPHY 50B,"Physics as a Foundation for Science and Engineering, Part II 001",Semeghini,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=483c0d35c7e08c099ae95892f72b158408deb8e711b5302352a699e3d3651f97edb07d8364041b10d0bcfcd9758fb4eb&ReportType=2&regl=en-US,FAS-108882-2232-1-1-001,FAS-108882-2232-1-1-001(Semeghini)
